entry	name	Quality	ItemLevel	RequiredLevel	subclass	tank_priority
36302	Coldrock Gauntlets	2	134	68	4	0
36303	Coldrock Helmet	2	134	68	4	0
36304	Coldrock Legplates	2	134	68	4	0
36305	Coldrock Pauldrons	2	134	68	4	0
36306	Coldrock Bracers	2	134	68	4	0
36307	Baleheim Belt	2	138	69	4	0
36308	Baleheim Greaves	2	138	69	4	0
36309	Baleheim Armor	2	138	69	4	0
36310	Baleheim Gloves	2	138	69	4	0
36311	Baleheim Helmet	2	138	69	4	0
36312	Baleheim Legguards	2	138	69	4	0
36313	Baleheim Epaulets	2	138	69	4	0
36314	Baleheim Vambraces	2	138	69	4	0
36315	Wyrmskull Girdle	2	142	70	4	0
36316	Wyrmskull Sabatons	2	142	70	4	0
36317	Wyrmskull Breastplate	2	142	70	4	0
36318	Wyrmskull Gauntlets	2	142	70	4	0
36319	Wyrmskull Helm	2	142	70	4	0
36320	Wyrmskull Legplates	2	142	70	4	0
36321	Wyrmskull Epaulets	2	142	70	4	0
36322	Wyrmskull Bracers	2	142	70	4	0
36445	Riveted Shield	2	130	67	6	0
36446	Forged-Iron Shield	2	134	68	6	0
36447	Kaskala Buckler	2	138	69	6	0
36448	Spiked Targe	2	142	70	6	0
37743	Legguards of Brutalization	3	130	69	4	0
37747	Beneficent Bulwark	3	130	69	6	0
37782	Gauntlets of the Cheerful Hearth	3	134	70	4	0
39083	Cobalt Shoulders	2	142	70	4	1
39084	Cobalt Helm	2	142	70	4	1
39085	Cobalt Chestpiece	2	142	70	4	1
39086	Cobalt Legplates	2	142	70	4	1
39087	Cobalt Belt	2	142	70	4	1
39088	Cobalt Boots	2	142	70	4	1
40668	Cobalt Triangle Shield	2	142	70	6	1
40942	Spiked Cobalt Helm	2	142	68	4	0
41974	Cobalt Bracers	2	142	70	4	1
41975	Cobalt Gauntlets	2	142	70	4	1
44649	Crystalbark's Toenail	3	159	70	4	0
44670	Soul-Sealed Belt	3	159	70	4	0
